occupation,soc_code
"Architects, Computer Systems Software ",15-1133
"Architects, Except Landscape and Naval",17-1011
"Architects, Except Naval",17-1010
"Architects, Golf Course ",17-1012
"Architects, Landscape",17-1012
"Architects, Marine ",17-2121
"Architects, Naval",17-2121
"Architects, Software Applications ",15-1132
"Architects, Structural ",17-1011
"Architects, Surveyors, and Cartographers",17-1000
"Architects, Systems ",15-1121
Architectural and Civil Drafters,17-3011
Architectural and Engineering Managers,11-9040
Architectural and Engineering Managers,11-9041
Architectural Design Professors,25-1031
Architectural Drafters,17-3011
Architectural Engineers,17-2051
Architectural Managers,11-9041
Architectural Wood Model Makers,51-7031
Architecture and Engineering Occupations,17-0000
"Architecture Teachers, Postsecondary",25-1031
Archivists,25-4011
"Archivists, Curators, and Museum Technicians",25-4010
"Archivists, Film ",25-4011
"Archivists, Reference",25-4011
"Area Studies Teachers, Postsecondary",25-1062
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062
Armature Rewinders,49-2092
Armor Senior Sergeants,55-2012
Armored Assault Vehicle Crew Members,55-3013
Armored Assault Vehicle Officers,55-1013
"Arrangers, Flower ",27-1023
"Arrangers, Funeral ",39-4031
"Arrangers, Music",27-2041
Arson Investigators,33-2021
Art and Design Workers,27-1000
Art Directors,27-1011
"Art Teachers, Postsecondary",25-1121
"Art, Drama, and Music Teachers, Postsecondary",25-1121
Artificial Limb Fitters,29-2091
Artillery and Missile Crew Members,55-3014
Artillery and Missile Officers,55-1014
Artillery Crew Members,55-3014
Artillery Officers,55-1014
Artists Agents,13-1011
Artists and Related Workers,27-1010
Artists Business Managers,13-1011
"Artists, All Other",27-1019
"Artists, Craft",27-1012
"Artists, Dance ",27-2031
"Artists, Display ",27-1026
"Artists, Fine, Including Painters, Sculptors, and Illustrators",27-1013
"Artists, Graphic ",27-1024
"Artists, Metal Arts Production ",27-1012
"Artists, Multimedia",27-1014
"Artists, Sketch ",27-1013
"Artists, Special Effects ",27-1014
"Artists, Special Effects Makeup ",39-5091
"Artists, Tattoo ",27-1019
"Artists, Voice-Over ",27-2011
"Arts, Communications, and Humanities Teachers, Postsecondary",25-1120
"Arts, Design, Entertainment, Sports, and Media Occupations",27-0000
Asbestos Abatement Workers,47-4041
Asphalt Blenders,51-9023
Asphalt Paving Machine Operators,47-2071
Asphalt Plant Operators,51-8099
Asphalt Roller Operators,47-2071
Assault Amphibious Vehicle (AAV) Officers,55-1013
Assault Boat Coxswains,55-3013
Assayers,19-4031
Assemblers and Fabricators,51-2000
"Assemblers and Fabricators, All Other",51-2099
"Assemblers and Fabricators, Miscellaneous",51-2090
"Assemblers, Aircraft Rigging",51-2011
"Assemblers, Aircraft Structure",51-2011
"Assemblers, Aircraft Surfaces",51-2011
"Assemblers, Aircraft Systems",51-2011
"Assemblers, All Other",51-2099
"Assemblers, Circuit Board ",51-2022
"Assemblers, Digital Watch ",51-2093
"Assemblers, Electric Motor Controls ",51-2022
"Assemblers, Electrical Equipment",51-2022
"Assemblers, Electromechanical Equipment",51-2023
"Assemblers, Electronic Equipment",51-2022
"Assemblers, Engine",51-2031
"Assemblers, Gas Turbine ",51-2031
"Assemblers, Lead Team ",51-2092
"Assemblers, Machine, Other",51-2031
"Assemblers, Marine Chronometer ",51-2093
"Assemblers, Other Machine",51-2031
"Assemblers, Programmable Logic Controller  ",51-2023
"Assemblers, Semiconductor ",51-9141
"Assemblers, Steam Turbine ",51-2031
"Assemblers, Synchronous Motor ",51-2023
"Assemblers, Team",51-2092
"Assemblers, Team Automobile ",51-2092
"Assemblers, Timing Device",51-2093
"Assemblers, Vacuum Cleaner ",51-2023
"Assemblers, Vending Machine ",51-2023
"Assemblers, Wood Casket ",51-7099
"Assemblers, Wood Furniture ",51-7011
Assembly Line Supervisors,51-1011
Assessors of Real Estate,13-2021
"Assessors, Tax ",13-2021
"Assistant Wholesale and Retail Buyers, Except Farm Products",13-1022
"Assistants, Actuarial ",43-9111
"Assistants, Anesthesiologist",29-1071
"Assistants, Carpenter ",47-3012
"Assistants, Certified Dental ",31-9091
"Assistants, Certified Nursing ",31-1014
"Assistants, Certified Occupational Therapy ",31-2011
"Assistants, Chiropractic ",31-9092
"Assistants, Dental",31-9091
"Assistants, Economic Research ",19-4061
"Assistants, Editorial ",43-9081
"Assistants, Executive ",43-6011
"Assistants, Family Service ",21-1093
"Assistants, Funeral Home ",39-4021
"Assistants, Historian Research ",19-4061
"Assistants, Human Resources, Except Payroll and Timekeeping",43-4161
"Assistants, Human Service",21-1093
"Assistants, Legal",23-2011
"Assistants, Legal Administrative ",43-6012
"Assistants, Licensed Occupational Therapist ",31-2011
"Assistants, Licensed Physical Therapist ",31-2021
"Assistants, Medical",31-9092
"Assistants, Multimedia Production ",27-4011
"Assistants, Nursing",31-1014
"Assistants, Occupational Therapy",31-2011
"Assistants, Office ",43-9061
"Assistants, Orthodontic ",31-9091
"Assistants, Pharmacist ",31-9095
"Assistants, Physical Therapist",31-2021
"Assistants, Physician",29-1071
"Assistants, Physiotherapy ",31-2021
"Assistants, Plumber ",47-3015
"Assistants, Procurement ",43-3061
"Assistants, Psychiatric Technician ",31-1013
"Assistants, Shampoo ",39-5093
"Assistants, Social Service",21-1093
"Assistants, Statistical",43-9111
"Assistants, Teacher",25-9041
"Assistants, Veterinary",31-9096
"Assistants, Video Production ",27-4011
"Associates, Store Gift Wrap ",41-9099
Astronomers,19-2011
Astronomers and Physicists,19-2010
Astrophysicists,19-2011
Astrophysics Professors,25-1054
Athletes,27-2021
Athletes Agents,13-1011
Athletes and Sports Competitors,27-2021
"Athletes, Coaches, Umpires, and Related Workers",27-2020
Athletic Events Scorers,27-2023
Athletic Trainers,29-9091
ATM Servicers,49-2011
Atmospheric and Space Scientists,19-2020
Atmospheric and Space Scientists,19-2021
Atmospheric Chemists,19-2021
"Atmospheric Sciences Teachers, Postsecondary",25-1051
Atmospheric Scientists,19-2021
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051
Atomic Process Engineers,17-2161
"Attachers, Protector Plate ",51-2041
"Attendants, Airline Flight ",53-2031
"Attendants, Airplane Flight ",53-2031
"Attendants, Ambulance, Except Emergency Medical Technicians",53-3011
"Attendants, Amusement",39-3091
"Attendants, Arcade ",39-3091
"Attendants, Automotive Service",53-6031
"Attendants, Bank Vault ",43-3099
"Attendants, Bathhouse ",39-3093
"Attendants, Cafeteria",35-9011
"Attendants, Car Wash  ",53-7061
"Attendants, Coatroom",39-3093
"Attendants, Costume",39-3092
"Attendants, Dining Room",35-9011
"Attendants, Dressing Room",39-3093
"Attendants, Entertainment, All Other",39-3099
"Attendants, Flight",53-2031
"Attendants, Funeral",39-4021
"Attendants, Gas Pump ",53-6031
"Attendants, Home Health ",31-1011
"Attendants, Laundry ",51-6011
"Attendants, Lobby",39-3031
"Attendants, Locker Room",39-3093
"Attendants, Lunchroom ",35-9011
"Attendants, Mess ",35-3021
"Attendants, Morgue ",31-9092
"Attendants, Nursing",31-1014
"Attendants, Nursing Care",31-1014
"Attendants, Parking Lot",53-6021
"Attendants, Parking Ramp ",53-6021
"Attendants, Recreation",39-3091
"Attendants, Scale ",43-5111
"Attendants, Service Station ",53-6031
"Attendants, Slot ",41-2012
"Attendants, Snack Bar ",35-3022
"Attendants, Taproom ",35-3011
"Attendants, Tool Crib ",43-5081
"Attendants, Train ",53-6061
"Attendants, Transportation, Except Flight Attendants",53-6061
"Attendants, Veterinary ",31-9096
"Attendants, Wardrobe ",39-3092
"Attendants, Washroom ",39-3093
"Attendants, Watercraft Service",53-6031
Attorneys,23-1011
Au Pairs,39-9011
Auctioneers,41-9099
Audio and Video Equipment Technicians,27-4011
Audio Engineers,27-4012
Audio Equipment Technicians,27-4011
Audio Recording Engineers,27-4014
Audiologists,29-1180
Audiologists,29-1181
"Audiologists, Clinical ",29-1181
"Audiologists, Pediatric ",29-1181
Audio-Visual and Multimedia Collections Specialists,25-9010
Audio-Visual and Multimedia Collections Specialists,25-9011
Audio-Visual Collections Coordinators,25-9011
Audio-Visual Collections Specialists,25-9011
Auditing Clerks,43-3031
Auditors,13-2011
"Auditors, Field ",13-2011
"Auditors, Internal ",13-2011
"Authorizers, Charge ",43-4041
"Authorizers, Credit",43-4041
Authors,27-3043
Autism Tutors,25-2059
Auto Body Customizers,49-3021
Auto Bumper Straighteners,49-3021
Auto Carrier Drivers,53-3032
Auto Damage Insurance Appraisers,13-1032
Auto Detailers,53-7061
Auto Glass Mechanics,49-3022
Auto Painters,51-9122
Auto Parts Salespersons,41-2022
Auto Tire Recappers,51-9197
Auto Transmission Specialists,49-3023
Automated Teller Machine Repairers,49-2011
Automatic Door Mechanics,49-9011
Automatic Pilot Mechanics,49-2091
Automobile and Property Underwriters,13-2053
Automobile Body Repair Supervisors,49-1011
Automobile Body Repairer Helpers,49-9098
Automobile Damage Appraisers,13-1032
Automobile Designers,27-1021
Automotive and Watercraft Service Attendants,53-6030
Automotive and Watercraft Service Attendants,53-6031
Automotive Body and Related Repairers,49-3021
Automotive Brake Technicians,49-3023
Automotive Design Drafters,17-3013
Automotive Electricians,49-2096
Automotive Fuel Injection Servicers,49-3023
Automotive Glass Installers,49-3022
Automotive Glass Installers and Repairers,49-3022
Automotive Glass Repairers,49-3022
Automotive Glaziers,49-3022
Automotive Machinists,51-4041
Automotive Service Attendants,53-6031
Automotive Service Mechanics,49-3023
Automotive Service Technicians,49-3023
Automotive Service Technicians and Mechanics,49-3023
Automotive Sheet Metal Engineers,17-2131
Automotive Technicians and Repairers,49-3020
Aviation Electronic Warfare Operators,55-3011
Aviation Operations Specialists,53-2022
Avionics Technicians,49-2091
Backhoe Operators,53-7032
Bacteriologists,19-1022
"Bacteriologists, Dairy ",19-1012
Bacteriology Professors,25-1042
Bacteriology Technicians,19-4021
Bagel Makers,51-3011
Baggage Bellhops,39-6011
Baggage Porters,39-6011
Baggage Porters and Bellhops,39-6011
"Baggage Porters, Bellhops, and Concierges",39-6000
"Baggage Porters, Bellhops, and Concierges",39-6010
"Baggers, Grocery Store ",53-7064
Bail Bondsmen,13-2099
Bailiffs,33-3011
"Bailiffs, Correctional Officers, and Jailers",33-3010
"Bailiffs, Court ",33-3011
"Bailiffs, Deputy ",33-3011
Bakers,51-3010
Bakers,51-3011
"Bakers, Bread ",51-3011
Bakery Deliverers,53-3031
"Baking Machine Operators and Tenders, Food and Tobacco",51-3091
"Balancers, Tire ",49-3093
"Balers, Hay ",45-2091
Ballast Cleaning Machine Operators,47-4061
Ballerinas,27-2031
Ballet Professors,25-1121
Ballistics Experts,19-4092
Ballistics Professors,25-1054
Band Managers,13-1011
Bank Examiners,13-2061
Bank Guards,33-9032
Bank Vault Attendants,43-3099
"Bankers, Investment ",41-3031
Banking Services Clerks,43-4141
Banquet Cooks,35-2014
Banquet Directors,11-9051
Banquet Supervisors,35-1012
Bar Backs,35-9011
Bar Managers,35-1012
Barber Apprentices,39-5011
Barbering Instructors,25-1194
Barbers,39-5011
"Barbers, Hairdressers, Hairstylists and Cosmetologists",39-5010
"Barbers, Master ",39-5011
Barge Captains,53-5021
Barge Engineers,53-5031
Barge Loaders,53-7121
Barkeeps,35-3011
Bartender Helpers,35-9011
Bartenders,35-3010
Bartenders,35-3011
Baseball Scouts,27-2022
"Batchmakers, Food",51-3091
Bathhouse Attendants,39-3093
Battery Builders,51-2022
Beach Lifeguards,33-9092
Beauticians,39-5012
Bed and Breakfast Innkeepers,11-9081
Behavioral Disorder Counselors,21-1011
Behavioral Health Technicians,29-2053
"Bellhops, Baggage",39-6011
Bellstaff,39-6011
Bench Carpenters,51-7011
"Benders, Neon Tube ",51-9195
Benefits Managers,11-3111
Benefits Specialists,13-1141
Betting Clerks,39-3012
Beveling and Edging Machine Operators,51-9021
Bicycle Mechanics,49-3091
Bicycle Messengers,43-5021
Bicycle Repairers,49-3091
Bicycle Service Technicians,49-3091
Bilingual Kindergarten Teachers,25-2012
Bill and Account Collectors,43-3010
Bill and Account Collectors,43-3011
Bill Collectors,43-3011
Billboard Posters,47-2142
Billing and Posting Clerks,43-3020
Billing and Posting Clerks,43-3021
Billing Clerks,43-3021
Biochemistry Professors,25-1042
Biochemists,19-1021
Biochemists and Biophysicists,19-1021
"Biochemists, Clinical ",19-1021
"Biochemists, Physical ",19-1021
Biodiesel Engine Specialists,49-3031
Biological Chemists,19-1021
"Biological Science Teachers, Postsecondary",25-1042
Biological Scientists,19-1020
"Biological Scientists, All Other",19-1029
Biological Technicians,19-4020
Biological Technicians,19-4021
"Biologists, Marine ",19-1023
"Biologists, Wildlife",19-1023
Biomaterials Engineers,17-2031
Bio-Mechanical Engineers,17-2031
Biomedical Engineering Technicians,17-3029
Biomedical Engineers,17-2030
Biomedical Engineers,17-2031
Biomedical Equipment Technicians,49-9062
Biophysicists,19-1021
Biostatisticians,15-2041
Bird Trappers,45-3021
Blackjack Dealers,39-3011
Blacktop-Paver Operators,47-2071
Blast Hole Drillers,47-5021
Blast Setters,47-5031
Blaster Helpers,47-5081
Blasters,47-5031
"Blenders, Asphalt ",51-9023
"Blenders, Honey ",51-3092
"Blenders, Ink ",51-9023
Blending Machine Operators,51-9023
Blending Machine Setters,51-9023
Blending Machine Tenders,51-9023
Blending Tank Helpers,51-9198
Blind Escorts,39-9021
Blind Stitch Machine Operators,51-6031
Blockmasons,47-2021
Blockmasons Helpers,47-3011
Blood Bank Laboratory Technologists,29-2011
Blood Donor Recruiters,41-9099
Blow Mold Operators,51-4072
"Blowers, Ceiling Insulation ",47-2131
"Blowers, Glass ",51-9195
Blueprint Tracers,17-3019
Boat Hops,35-3041
Bodyguards,33-9032
Boiler Coverers,47-2132
Boiler Engineers,51-8021
Boiler Installers,47-2011
Boiler Mechanics,47-2011
Boiler Operators,51-8021
Boiler Room Operators,51-8021
Boiler Testers,47-2011
Boilerhouse Mechanics,49-9041
Boilermakers,47-2010
Boilermakers,47-2011
"Bolters, Underground Roof ",47-5061
Bond Underwriters,13-2053
Bondactor Machine Operators,49-9045
"Bondsmen, Bail ",13-2099
Book Conservators,25-4013
Bookbinders,51-5113
Bookbinding Machine Operators,51-5113
Bookkeepers,43-3031
Bookkeeping Clerks,43-3031
"Bookkeeping, Accounting, and Auditing Clerks",43-3030
"Bookkeeping, Accounting, and Auditing Clerks",43-3031
Boom Crane Operators,53-7021
Booth Cashiers,41-2012
Border Patrol Officers,33-3051
Bore Miner Operators,47-5042
"Boring Machine Tool Operators, Metal and Plastic",51-4032
"Boring Machine Tool Setters, Metal and Plastic",51-4032
"Boring Machine Tool Tenders, Metal and Plastic",51-4032
Boring Mill Operators for Metal,51-4032
"Bosses, Corral ",45-1011
