BLS codes,Occupation Name,Category Label,Probability of Computerisation,Assisting and caring for others,Persuasion,Negotiation,Social perceptiveness,Fine arts,Originality,Manual dexterity,Finger dexterity,Cramped work space,Employment in Thousands,Income (Thousands USD),High school diploma or equivalent,Some college, no degree,Associate's degree,Bachelor's degree,Master's degree,Training set automatable labels
19-2032_,Materials Scientists,2,0.020728,27,45,41,43,0,57,27,30,16,0.0087,84.72,99.9,99.8,95.6,92.6,40.1,19.4,
17-2131_,Materials Engineers,2,0.020929,25,48,43,46,0,59,21,30,16,0.0223,83.12,100,93.6,81.3,70.3,23.5,5.8,
27-1022_,Fashion Designers,3,0.021201,28,50,48,54,37,63,32,41,59,0.0215,64.53,97.3,84.6,65,51.1,8,1,0
29-1123_,Physical Therapists,4,0.021226,78,50,43,54,0,45,39,45,31,0.1986,76.31,99.7,98.5,97,89.9,48.4,14.8,
27-4021_,Photographers,3,0.021366,36,39,37,45,32,52,41,39,34,0.1395,29.13,97.7,83,58.5,47.1,7.3,0.9,
27-2012_,Producers and Directors,3,0.021637,32.6,50.6,49.8,52.2,47.4,54.2,18.6,30,13.8,0.1225,68.44,99,92.6,77.8,71.8,15.4,2.5,
27-1025_,Interior Designers,3,0.02218,26,50,50,48,59,59,0,25,8,0.0565,46.28,97.3,84.6,65,51.1,8,1,
29-1023_,Orthodontists,4,0.023144,70,46,46,54,0,46,55,59,25,0.0083,166.4,99.9,99.9,99.9,99.9,99.3,97.8,
27-1011_,Art Directors,3,0.023285,23,52,50,45,72,63,29,34,22,0.0739,80.63,97,85.6,66,56.4,14,1.5,
33-1011_,First-Line Supervisors of Correctional Officers,5,0.024592,67,50,45,55,0,46,34,34,30,0.0415,55.91,98.6,72.4,38.7,25.4,5.9,0.6,
21-2021_,Directors Religious Activities and Education,3,0.024856,58,52,46,64,33,48,0,32,18,0.126,36.17,98.8,89.4,72.6,66.3,28.5,5.6,
17-2072_,Electronics Engineers Except Computer,2,0.025318,40,41,43,48,0,52,43,50,9,0.14,90.17,99.9,96.3,87.1,77.8,27.9,4.9,
19-1021_,Biochemists and Biophysicists,2,0.026909,25,46,34,50,0,66,34,41,15,0.0251,79.39,99.9,99.9,97.2,94.4,50,21.2,
29-1011_,Chiropractors,4,0.027286,81,46,41,52,13,46,43,45,5,0.0526,67.2,100,99.2,98.3,97.7,95,93.4,
31-2011_,Occupational Therapy Assistants,5,0.02762,76,46,45,52,0,45,36,39,24,0.0285,51.01,99.4,97.2,85.9,14.7,3,0.5,
21-1021_,Child Family and School Social Workers,3,0.027859,63,55,55,64,0,48,0,34,5,0.2957,40.21,98.8,92.7,82.5,76.6,34.4,1.8,
17-2111_,Health and Safety Engineers Except Mining Safety Engineers and Inspectors,2,0.0283,32.6667,45.6667,39.6667,45.6667,0,52.3333,1.6667,32.6667,27.6667,0.0237,75.43,99.9,92.5,78.8,68.5,19.2,2.1,
17-2112_,Industrial Engineers,2,0.029088,33.5,46.5,40,46.5,0,52.5,0,32,19,0.2039,76.1,99.9,92.5,78.8,68.5,19.2,2.1,
53-1031_,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,12,0.029242,45,50,48,48,0,50,32,36,17,0.1987,52.72,91.6,55.6,25.8,17,2.5,0.3,
29-2056_,Veterinary Technologists and Technicians,4,0.029285,86,39,36,50,0,43,46,54,47,0.0802,29.71,97.5,70,35.4,16.4,2.3,1,
11-3051_,Industrial Production Managers,1,0.029556,42.25,49.75,48.5,53,0,50.25,32,38.75,21.5,0.1503,87.16,96.3,74,51.3,42.4,11.7,1.2,
17-3026_,Industrial Engineering Technicians,2,0.029581,39,50,41,46,0,52,18,30,7,0.0625,48.21,96.4,73.4,40.1,17.2,2.8,0.5,
15-1142_,Network and Computer Systems Administrators,2,0.029618,32,46,48,46,0,52,34,46,39,0.3472,69.16,99.5,91.6,66.5,51.1,11,1,
15-1141_,Database Administrators,2,0.029787,31,43,37,46,0,54,18,41,9,0.1108,73.49,99.6,94.6,77.3,67.3,21.5,1.9,
11-3061_,Purchasing Managers,1,0.029851,41,63,63,59,0,52,0,34,2,0.068,95.07,98.9,86.9,65.4,56.2,18,2.3,
25-1000_,Postsecondary Teachers,3,0.032494,45.3333,44.0833,39.0556,50.7222,19.9167,50.3333,5.7778,20.1944,8.3333,1.756,62.05,99.9,99.8,97.3,95.1,79.3,44.2,
19-2041_,Environmental Scientists and Specialists Including Health,2,0.032548,26,55,37,48,0,55,23,37,14,0.0894,61.7,99.8,99.6,96,93.7,45.6,10,
21-1011_,Substance Abuse and Behavioral Disorder Counselors,3,0.033107,73,54,46,70,11,46,0,16,9,0.0855,38.12,98.7,92.1,81.4,75.7,50.5,4.6,0
23-1011_,Lawyers,3,0.034587,38,68,61,55,0,52,0,32,5,0.7282,112.76,99.9,99.8,99.8,99.8,99,96.5,0
27-1012_,Craft Artists,3,0.034692,29,37,29,43,74,54,50,54,10,0.0118,26.93,97,85.6,66,56.4,14,1.5,
15-2031_,Operations Research Analysts,2,0.034784,24,41,39,43,0,57,0,21,3,0.0646,70.96,99.5,92.4,74.9,67.2,27,3.5,
11-3021_,Computer and Information Systems Managers,1,0.03508,44,48,48,50,0,50,34,39,14,0.3079,115.78,99.6,95.1,79.1,70.1,24,2.1,
27-1021_,Commercial and Industrial Designers,3,0.036804,26,52,36,48,31,70,25,46,29,0.0408,58.23,97.3,84.6,65,51.1,8,1,
17-2031_,Biomedical Engineers,2,0.037344,32,50,46,52,0,71,25,54,16,0.0157,81.54,100,96.1,88.4,72.1,30,6.5,
13-1121_,Meeting Convention and Event Planners,1,0.03744,44,48,52,50,9,50,30,34,12,0.0716,45.26,98.9,88.2,68.5,60.3,10.6,0.9,0
29-1131_,Veterinarians,4,0.037573,73,45,45,52,0,45,55,57,19,0.0614,82.04,99.9,99.8,99.7,99.6,98.8,97.5,
27-3043_,Writers and Authors,3,0.038364,18.5,50,43,48.5,44,60,11.5,33,5,0.1459,55.42,99.5,96.6,87.4,84.4,34.6,8.4,
11-2011_,Advertising and Promotions Managers,1,0.038603,27,52,,54,50,54,9,25,13,0.0387,83.89,99.3,91.3,77.2,71.7,11.6,1,
19-3094_,Political Scientists,2,0.038648,30,41,36,55,0,54,0,18,3,0.0056,107.42,100,99.8,93.7,89.8,53.1,16.2,
13-2071_,Credit Counselors,1,0.039542,61,50,45,54,0,48,0,30,0,0.0331,38.14,98.8,84.1,58,48.5,8.7,0.9,
19-3099_,Social Scientists and Related Workers All Other,2,0.03984,30,50,46,46,0,54,0,0,2,0.0354,74.62,100,99.8,93.7,89.8,53.1,16.2,
19-2011_,Astronomers,2,0.04138,20,39,39,46,0,57,0,29,10,0.0022,87.26,100,100,96.4,94.1,75.8,52,
53-5031_,Ship Engineers,12,0.041416,58,29,29,41,0,45,46,48,73,0.0101,65.88,94.8,66.5,39.5,31.3,7,0.3,
15-1132_,Software Developers Applications,2,0.041558,25,48,43,43,0,55,21,43,7,0.5208,87.79,99.7,97.2,87.9,82.5,32.6,3.8,
27-1013_,Fine Artists Including Painters Sculptors and Illustrators,3,0.041623,14,34,30,41,89,64,54,48,19,0.0257,44.85,97,85.6,66,56.4,14,1.5,
29-2053_,Psychiatric Technicians,4,0.043359,79,48,48,57,18,43,34,39,36,0.0749,28.71,97.5,70,35.4,16.4,2.3,1,
17-1012_,Landscape Architects,2,0.044517,28,50,46,52,61,54,23,37,4,0.0216,62.09,100,98.3,93.5,89.2,36.9,8.6,0
21-1091_,Health Educators,3,0.045113,52,46,43,54,10,48,29,30,15,0.0634,45.83,97.6,83.2,62.3,52.8,14.9,1.4,
15-2021_,Mathematicians,2,0.046723,25,41,32,37,0,71,0,30,4,0.0031,99.38,100,99.4,98.2,97.6,76.1,38.1,
27-1023_,Floral Designers,3,0.04743,39,37,36,39,36,50,34,34,19,0.0665,23.61,97.3,84.6,65,51.1,8,1,
11-9013_,Farmers Ranchers and Other Agricultural Managers,1,0.047436,45.5,45.5,45,49,0,48,38,39.5,34,1.2025,60.75,87.9,49,29,21.2,3.9,0.9,
33-2022_,Forest Fire Inspectors and Prevention Specialists,5,0.048046,63,43,45,43,0,46,29,36,17,0.0016,34.91,98.1,74.2,40.7,24.4,4.3,0.4,
29-2041_,Emergency Medical Technicians and Paramedics,4,0.04894,86,39,41,50,0,41,52,52,63,0.2265,30.36,98.9,82.3,35.6,15.4,2.7,1.1,
27-3041_,Editors,3,0.054636,22,52,54,52,35,55,16,37,6,0.1272,51.47,99.4,95.7,85.1,81.1,24.5,4.8,
29-1024_,Prosthodontists,4,0.054741,81,43,41,54,29,43,55,59,23,0.001,118.4,99.9,99.9,99.9,99.9,99.3,97.8,
29-9799_,Healthcare Practitioners and Technical Workers All Other,4,0.055235,78.6667,29,37.3333,56,0,42.6667,21.3333,41.6667,32,0.0604,43.97,98.7,87.2,70.9,63.3,23.7,2.5,0
39-7012_,Travel Guides,5,0.057199,53,48,46,48,34,48,25,30,6,0.0042,29.78,95.2,72.1,47.8,39.1,11.7,1.4,
29-2061_,Licensed Practical and Licensed Vocational Nurses,4,0.057824,83,46,43,57,0,41,41,46,54,0.7523,40.38,98.8,78.2,23.1,6.7,2.8,2.2,
19-3041_,Sociologists,2,0.058622,22,43,41,57,0,55,0,14,3,0.004,72.36,100,100,99.1,96.1,50,22.8,
23-1022_,Arbitrators Mediators and Conciliators,3,0.060277,43,66,71,54,0,50,0,25,1,0.0094,55.8,99.9,99.8,99.8,99.8,99,96.5,
19-1011_,Animal Scientists,2,0.061277,35,43,43,50,0,50,0,27,23,0.0033,58.25,99.9,99.8,88.4,80.9,38,16,
39-9041_,Residential Advisors,5,0.06388,75,46,45,48,13,43,16,30,28,0.0726,24.44,94.8,66.3,38.5,29.4,7.5,0.8,
53-1011_,Aircraft Cargo Handling Supervisors,12,0.065545,49,37,41,45,0,46,45,39,50,0.0063,49.19,91.6,55.6,25.8,17,2.5,0.3,
29-1126_,Respiratory Therapists,4,0.066298,86,46,45,54,0,41,41,46,40,0.1127,54.28,99.7,97.4,84.2,28.7,4.6,1.5,
27-3021_,Broadcast News Analysts,3,0.066837,33,50,41,57,22,50,20,34,27,0.0066,54.14,99.7,96.7,86.2,82.3,21.2,2.9,
11-3031_,Financial Managers,1,0.069185,34.5,55.5,46,53.5,0,51,0,32,5,0.5271,103.91,99,86.9,67.3,59.6,19.4,2.2,
17-2161_,Nuclear Engineers,2,0.0701,34,48,45,52,0,50,25,39,21,0.0191,99.92,100,97.5,92.8,87.2,35.6,9.4,
11-9021_,Construction Managers,1,0.070853,31,59,57,55,0,50,0,34,33,0.5231,83.86,92.1,62.1,36.9,29.1,5.4,0.7,
27-2042_,Musicians and Singers,3,0.074017,35.5,37,33,45.5,75,50,25,24,14,0.1762,8.212,95.4,80.3,58.2,53,22.3,3.9,
41-1012_,First-Line Supervisors of Non-Retail Sales Workers,6,0.075117,35,55,54,57,0,50,0,37,15,0.4229,68.88,94.5,70.6,46.4,38.5,9,1.5,
39-1021_,First-Line Supervisors of Personal Service Workers,5,0.075515,57,48.5,46.5,52.5,8.5,46.5,27,31,10,0.2189,35.29,93.9,62.2,33.5,23.5,4.8,1,
19-1012_,Food Scientists and Technologists,2,0.077121,25,50,50,48,0,52,25,43,17,0.0139,60.18,99.9,99.8,88.4,80.9,38,16,
13-1041_,Compliance Officers,1,0.079639,46.1667,49,45,52.8333,0,47.3333,23.1667,38.8333,23.5,0.2166,58.72,98.8,86.4,66,56,18.8,4.1,0
33-3031_,Fish and Game Wardens,5,0.080158,57,52,45,52,0,45,38,39,32,0.0076,49.73,99.1,87.9,73.3,60.7,11,1.8,
27-1024_,Graphic Designers,3,0.082252,17,39,41,43,73,55,30,37,5,0.2792,43.5,97.3,84.6,65,51.1,8,1,
11-9051_,Food Service Managers,1,0.082891,53,48,52,54,0,46,41,39,25,0.3206,48.13,90.1,59.8,33,24.2,3.9,0.6,
39-9011_,Childcare Workers,5,0.084206,68,45.5,42,25,14.5,44.5,31.5,35,11,1.2823,19.3,83.9,48,21.9,13.4,2.3,0.4,0
39-9031_,Fitness Trainers and Aerobics Instructors,5,0.085078,65,43,32,52,14,45,37,34,10,0.2514,31.09,96.6,77,52.2,42.6,9.3,1.3,
11-9071_,Gaming Managers,1,0.091154,54,55,52,52,0,46,16,29,19,0.0033,66.96,94.1,65.2,34.8,25.9,4.4,0.9,
49-9051_,Electrical Power-Line Installers and Repairers,10,0.09661,63,43,36,41,0,43,48,50,42,0.1084,58.03,93.5,46.6,15.6,5,0.4,0,
33-3051_,Police and Sheriff's Patrol Officers,5,0.097575,70,53,53.5,54.5,0,42,39,40,39,0.6639,53.54,99.2,84.2,49.5,32.2,4.8,0.6,
41-3041_,Travel Agents,6,0.099176,57,48,46,46,0,46,5,27,9,0.0828,31.87,98.3,78.1,45.6,33.1,6.5,1,
35-1011_,Chefs and Head Cooks,5,0.10071,40,45,50,50,11,48,41,41,22,0.1006,40.63,81.5,50.6,30.7,13.3,1.9,0.5,0
39-2011_,Animal Trainers,5,0.10152,55,41,36,34,0,46,39,38,13,0.0458,26.58,89.6,58.4,34.8,25.5,4.1,0.6,
17-2071_,Electrical Engineers,2,0.10185,31,41,36,48,0,50,30,39,16,0.154,84.54,99.9,96.3,87.1,77.8,27.9,4.9,
27-3011_,Radio and Television Announcers,3,0.10185,31,43,45,52,36,50,0,18,16,0.0502,26.85,94.7,74.8,45.7,37.6,5.9,1.2,0
19-2031_,Chemists,2,0.10257,30,39,36,41,0,50,41,48,19,0.0822,68.32,99.9,99.8,95.6,92.6,40.1,19.4,
29-2054_,Respiratory Therapy Technicians,4,0.10342,90,43,37,52,0,39,41,46,43,0.0138,45.21,97.5,70,35.4,16.4,2.3,1,
19-2012_,Physicists,2,0.10375,26,54,41,46,0,79,0,36,18,0.0183,106.37,100,100,96.4,94.1,75.8,52,0
39-5012_,Hairdressers Hairstylists and Cosmetologists,5,0.10715,60,39,30,41,0,45,50,50,14,0.6277,22.76,92.1,44.5,14.7,5.9,1.8,1.3,0
27-3022_,Reporters and Correspondents,3,0.1136,29,45,41,54,17,50,0,21,18,0.0519,34.53,99.7,96.7,86.2,82.3,21.2,2.9,
